	EnsemblID	GeneSymbol	Description
1648	ENSG00000293212		
1649	ENSG00000303805		
1650	ENSG00000261649	GOLGA6L7	golgin A6 family like 7
1651	ENSG00000304225		
1652	ENSG00000307718		
1653	ENSG00000298266		
1654	ENSG00000258902		
1655	ENSG00000298652		
1656	ENSG00000290064		
1657	ENSG00000279860		
1658	ENSG00000309445		
1659	ENSG00000299308		
1660	ENSG00000086717	PPEF1	protein phosphatase with EF-hand domain 1
1661	ENSG00000165168	CYBB	cytochrome b-245 beta chain
1662	ENSG00000225976	CKS1BP2	CDC28 protein kinase regulatory subunit 1B pseudogene 2
1663	ENSG00000300339		
1664	ENSG00000254632		
1665	ENSG00000233311	MTCO1P54	MT-CO1 pseudogene 54
1666	ENSG00000244738		
1667	ENSG00000214140	PRCD	photoreceptor disc component
1668	ENSG00000267084		
1669	ENSG00000297572	LOC124904054	uncharacterized LOC124904054
1670	ENSG00000278972		
1671	ENSG00000177201	OR2T12	olfactory receptor family 2 subfamily T member 12
1672	ENSG00000296698		
1673	ENSG00000234363	PPIAP27	peptidylprolyl isomerase A pseudogene 27
1674	ENSG00000226250	LINC00408	long intergenic non-protein coding RNA 408
1675	ENSG00000272396		
1676	ENSG00000309065		
1677	ENSG00000251568	ALG3P1	ALG3 pseudogene 1
1678	ENSG00000302406		
1679	ENSG00000160233	LRRC3	leucine rich repeat containing 3
1680	ENSG00000237092	LINC01065	long intergenic non-protein coding RNA 1065
1681	ENSG00000302899		
1682	ENSG00000309291		
1683	ENSG00000215477	RCN1P1	reticulocalbin 1 pseudogene 1
1684	ENSG00000218793		
1685	ENSG00000253440	IGHV3-33-2	immunoglobulin heavy variable 3-33-2 (pseudogene)
1686	ENSG00000199466	Y_RNA	Y RNA
1687	ENSG00000261014	LINC02165	long intergenic non-protein coding RNA 2165
1688	ENSG00000287747	LOC124901872	uncharacterized LOC124901872
1689	ENSG00000308397	LOC105370126	uncharacterized LOC105370126
1690	ENSG00000300142		
1691	ENSG00000296896		
1692	ENSG00000296459	LOC124903142	uncharacterized LOC124903142
1693	ENSG00000185272	RBM11	RNA binding motif protein 11
1694	ENSG00000234182		
1695	ENSG00000170477	KRT4	keratin 4
1696	ENSG00000106018	VIPR2	vasoactive intestinal peptide receptor 2
1697	ENSG00000244289	RPS3AP35	RPS3A pseudogene 35
1698	ENSG00000250794	ALG1L12P	ALG1 like 12, pseudogene
1699	ENSG00000232359		
1700	ENSG00000301371		
1701	ENSG00000280683	LINC01242	long intergenic non-protein coding RNA 1242
1702	ENSG00000272507	RNU6-88P	RNA, U6 small nuclear 88, pseudogene
1703	ENSG00000105697	HAMP	hepcidin antimicrobial peptide
1704	ENSG00000296277		
1705	ENSG00000236052	LINC01643	long intergenic non-protein coding RNA 1643
1706	ENSG00000270403	LOC105369515	uncharacterized LOC105369515
1707	ENSG00000261573	PTPRC-AS1	PTPRC antisense RNA 1
1708	ENSG00000235492	LINC01221	long intergenic non-protein coding RNA 1221
1709	ENSG00000297377	LOC105378956	uncharacterized LOC105378956
1710	ENSG00000171505	OR1N1	olfactory receptor family 1 subfamily N member 1
1711	ENSG00000235338	DUSP5P2	dual specificity phosphatase 5 pseudogene 2
1712	ENSG00000223991	TANAR	TWIST1 associated long noncoding RNA regulated by androgen receptor
1713	ENSG00000288607	ELOA3BP	elongin A3 family member B, pseudogene
1714	ENSG00000295916		
1715	ENSG00000309558	LOC105370418	uncharacterized LOC105370418
1716	ENSG00000225460	LOC124902324	ubiquitin-conjugating enzyme E2 variant 1-like
1717	ENSG00000287719		
1718	ENSG00000286881		
1719	ENSG00000294638		
1720	ENSG00000308152		
1721	ENSG00000211826	TRDJ4	T cell receptor delta joining 4
1722	ENSG00000202515	VTRNA1-3	vault RNA 1-3
1723	ENSG00000274666		
1724	ENSG00000224040	HMGN1P4	high mobility group nucleosome binding domain 1 pseudogene 4
1725	ENSG00000293922		
1726	ENSG00000293251		
1727	ENSG00000293607	LOC105376081	uncharacterized LOC105376081
1728	ENSG00000274551		
1729	ENSG00000300065		
1730	ENSG00000196993	NPIPB9	nuclear pore complex interacting protein family member B9
1731	ENSG00000297659		
1732	ENSG00000293771		
1733	ENSG00000309390		
1734	ENSG00000296536		
1735	ENSG00000261728		
1736	ENSG00000286467		
1737	ENSG00000213203	GIMAP1	GTPase, IMAP family member 1
1738	ENSG00000258901		
1739	ENSG00000308310		
1740	ENSG00000308593		
1741	ENSG00000300066		
1742	ENSG00000280182		
1743	ENSG00000252688	RNU6-579P	RNA, U6 small nuclear 579, pseudogene
1744	ENSG00000294609		
1745	ENSG00000238365	RNU7-57P	RNA, U7 small nuclear 57 pseudogene
1746	ENSG00000231622	RPS29P7	ribosomal protein S29 pseudogene 7
1747	ENSG00000293742		
1748	ENSG00000299956		
1749	ENSG00000290954		
1750	ENSG00000199875	Y_RNA	Y RNA
1751	ENSG00000162009	SSTR5	somatostatin receptor 5
1752	ENSG00000293038		
1753	ENSG00000301917		
1754	ENSG00000207044	RNU6-1226P	RNA, U6 small nuclear 1226, pseudogene
1755	ENSG00000304610		
1756	ENSG00000244699	EVA1CP5	EVA1C pseudogene 5
1757	ENSG00000284709		
1758	ENSG00000308930		
1759	ENSG00000297810		
1760	ENSG00000217275	RPS10P1	ribosomal protein S10 pseudogene 1
1761	ENSG00000207194	RNU6-1026P	RNA, U6 small nuclear 1026, pseudogene
1762	ENSG00000259029	DUX4L18	double homeobox 4 like 18 (pseudogene)
1763	ENSG00000108001	EBF3	EBF transcription factor 3
1764	ENSG00000302515		
1765	ENSG00000200556	RNU6-103P	RNA, U6 small nuclear 103, pseudogene
1766	ENSG00000220868	MRPL35P1	mitochondrial ribosomal protein L35 pseudogene 1
1767	ENSG00000300799		
1768	ENSG00000302194		
1769	ENSG00000272913	LINC03052	long intergenic non-protein coding RNA 3052
1770	ENSG00000285982		
1771	ENSG00000296385		
1772	ENSG00000248159	HSPA8P11	heat shock protein family A (Hsp70) member 8 pseudogene 11
1773	ENSG00000296827		
1774	ENSG00000161405	IKZF3	IKAROS family zinc finger 3
1775	ENSG00000306316		
1776	ENSG00000168135	KCNJ4	potassium inwardly rectifying channel subfamily J member 4
1777	ENSG00000263381	MIR5584	microRNA 5584
1778	ENSG00000304827		
1779	ENSG00000225680		
1780	ENSG00000132204	LINC00470	long intergenic non-protein coding RNA 470
1781	ENSG00000235029	MNX1-AS2	MNX1 antisense RNA 2
1782	ENSG00000201077	RNU6-188P	RNA, U6 small nuclear 188, pseudogene
1783	ENSG00000248522	SBF1P1	SET binding factor 1 pseudogene 1
1784	ENSG00000304835		
1785	ENSG00000227152	OR2T7	olfactory receptor family 2 subfamily T member 7 (gene/pseudogene)
1786	ENSG00000279805		
1787	ENSG00000106689	LHX2	LIM homeobox 2
1788	ENSG00000297885		
1789	ENSG00000213383	PP1P	pyrophosphatase (inorganic) 1 pseudogene
1790	ENSG00000252377	RNU6-504P	RNA, U6 small nuclear 504, pseudogene
1791	ENSG00000258556	LINC02322	long intergenic non-protein coding RNA 2322
1792	ENSG00000240708	LINC02030	long intergenic non-protein coding RNA 2030
1793	ENSG00000249791		
1794	ENSG00000177994	CIMIP6	ciliary microtubule inner protein 6
1795	ENSG00000300099		
1796	ENSG00000226970	NEDD8P1	NEDD8 pseudogene 1
1797	ENSG00000219391		
1798	ENSG00000167774		
1799	ENSG00000231560	CLEC12A-AS1	CLEC12A antisense RNA 1
1800	ENSG00000249678		
1801	ENSG00000250316		
1802	ENSG00000225000		
1803	ENSG00000160224	AIRE	autoimmune regulator
1804	ENSG00000272789	MYO7B-AS1	MYO7B antisense RNA 1
1805	ENSG00000286484	LOC124901942	uncharacterized LOC124901942
1806	ENSG00000178457	LINC00314	long intergenic non-protein coding RNA 314
1807	ENSG00000290067		
1808	ENSG00000147432	CHRNB3	cholinergic receptor nicotinic beta 3 subunit
1809	ENSG00000100385	IL2RB	interleukin 2 receptor subunit beta
1810	ENSG00000172724	CCL19	C-C motif chemokine ligand 19
1811	ENSG00000124568	SLC17A1	solute carrier family 17 member 1
1812	ENSG00000294301		
1813	ENSG00000285169		
1814	ENSG00000283556	MIR376B	microRNA 376b
1815	ENSG00000288949		
1816	ENSG00000229742		
1817	ENSG00000295652		
1818	ENSG00000300248		
1819	ENSG00000227193		
1820	ENSG00000275158	TRBV12-5	T cell receptor beta variable 12-5
1821	ENSG00000296901		
1822	ENSG00000299045		
1823	ENSG00000273257	LINC02928	long intergenic non-protein coding RNA 2928
1824	ENSG00000205100	HSP90AA4P	heat shock protein 90 alpha family class A member 4, pseudogene
1825	ENSG00000307683		
1826	ENSG00000234396		
1827	ENSG00000303114		
1828	ENSG00000295621		
1829	ENSG00000307102		
1830	ENSG00000268295	POLR3GP1	RNA polymerase III subunit G pseudogene 1
1831	ENSG00000271329	LOC100130714	metaxin 3 pseudogene
1832	ENSG00000225886		
1833	ENSG00000232751	RPL26P11	ribosomal protein L26 pseudogene 11
1834	ENSG00000199856	LOC124904381	small nucleolar RNA U3
1835	ENSG00000271395	LINC02336	long intergenic non-protein coding RNA 2336
1836	ENSG00000305628		
1837	ENSG00000296869		
1838	ENSG00000302014		
1839	ENSG00000227679		
1840	ENSG00000254460		
1841	ENSG00000102794	ACOD1	aconitate decarboxylase 1
1842	ENSG00000307585		
1843	ENSG00000233721		
1844	ENSG00000295119		
1845	ENSG00000299581		
1846	ENSG00000201358	RN7SKP193	RN7SK pseudogene 193
1847	ENSG00000305246		
1848	ENSG00000240364	RPL31P59	ribosomal protein L31 pseudogene 59
1849	ENSG00000258300	NUTF2P2	nuclear transport factor 2 pseudogene 2
1850	ENSG00000207007	RNU6-891P	RNA, U6 small nuclear 891, pseudogene
1851	ENSG00000310344		
1852	ENSG00000207139	Y_RNA	Y RNA
1853	ENSG00000224721	FLVCR2-AS1	FLVCR2 antisense RNA 1
1854	ENSG00000226592		
1855	ENSG00000308459		
1856	ENSG00000256306		
1857	ENSG00000250887		
1858	ENSG00000251829	RNA5SP436	RNA, 5S ribosomal pseudogene 436
1859	ENSG00000252383	RNU6-314P	RNA, U6 small nuclear 314, pseudogene
1860	ENSG00000184502	GAST	gastrin
1861	ENSG00000226375		
1862	ENSG00000304519		
1863	ENSG00000239481	RPS3AP41	RPS3A pseudogene 41
1864	ENSG00000295619		
1865	ENSG00000207467	Y_RNA	Y RNA
1866	ENSG00000302638		
1867	ENSG00000230107	LOC101927344	uncharacterized LOC101927344
1868	ENSG00000307568		
1869	ENSG00000299023		
1870	ENSG00000307297		
1871	ENSG00000207046	RNU6-886P	RNA, U6 small nuclear 886, pseudogene
1872	ENSG00000305492		
1873	ENSG00000284607	LOC105374988	uncharacterized LOC105374988
1874	ENSG00000300051		
1875	ENSG00000236045		
1876	ENSG00000233587	LINC01884	long intergenic non-protein coding RNA 1884
1877	ENSG00000298988		
1878	ENSG00000255484	LINC02764	long intergenic non-protein coding RNA 2764
1879	ENSG00000244756	RPL37P5	ribosomal protein L37 pseudogene 5
1880	ENSG00000287055		
1881	ENSG00000199787	SNORA80C	small nucleolar RNA, H/ACA box 80C
1882	ENSG00000258906	LOC100129923	myoneurin pseudogene
1883	ENSG00000254381	TUBB8P5	tubulin beta 8 class VIII pseudogene 5
1884	ENSG00000294323		
1885	ENSG00000273091		
1886	ENSG00000244310		
1887	ENSG00000273044		
1888	ENSG00000299418		
1889	ENSG00000286505		
1890	ENSG00000263892	MIR4667	microRNA 4667
1891	ENSG00000307224		
1892	ENSG00000310207		
1893	ENSG00000225431	LINC01671	long intergenic non-protein coding RNA 1671
1894	ENSG00000202189	SNORA30B	small nucleolar RNA, H/ACA box 30B
1895	ENSG00000303872	LOC105378997	basic proline-rich protein
1896	ENSG00000259442		
1897	ENSG00000275207	MIR6740	microRNA 6740
1898	ENSG00000288555		
1899	ENSG00000139053	PDE6H	phosphodiesterase 6H
1900	ENSG00000293892		
1901	ENSG00000296437		
1902	ENSG00000286500		
1903	ENSG00000290883		
1904	ENSG00000253725	CCDC86P2	CCDC86 pseudogene 2
1905	ENSG00000257550	ATF7-AS1	ATF7 antisense RNA 1
1906	ENSG00000287444		
1907	ENSG00000238137	ARPC3P2	actin related protein 2/3 complex subunit 3 pseudogene 2
1908	ENSG00000261299	C2orf69P3	chromosome 2 open reading frame 69 pseudogene 3
1909	ENSG00000259990		
1910	ENSG00000271596		
1911	ENSG00000243075	RN7SL519P	RNA, 7SL, cytoplasmic 519, pseudogene
1912	ENSG00000236108	LOC124904585	signal peptidase complex subunit 1-like
1913	ENSG00000229621	LINC01822	long intergenic non-protein coding RNA 1822
1914	ENSG00000287956		
1915	ENSG00000307614		
1916	ENSG00000197769	MAP1LC3C	microtubule associated protein 1 light chain 3 gamma
1917	ENSG00000273829	Metazoa_SRP	Metazoan signal recognition particle RNA
1918	ENSG00000170099	SERPINA6	serpin family A member 6
1919	ENSG00000278873	PRO1804	uncharacterized LOC100133319
1920	ENSG00000309138		
1921	ENSG00000278863		
1922	ENSG00000251639		
1923	ENSG00000223701	RAET1E-AS1	RAET1E antisense RNA 1
1924	ENSG00000302530		
1925	ENSG00000205636	LINC00583	long intergenic non-protein coding RNA 583
1926	ENSG00000257523	LINC02326	long intergenic non-protein coding RNA 2326
1927	ENSG00000285536	LINC02838	long intergenic non-protein coding RNA 2838
1928	ENSG00000303677		
1929	ENSG00000270192	MRPS35P3	mitochondrial ribosomal protein S35 pseudogene 3
1930	ENSG00000297693		
1931	ENSG00000308120		
1932	ENSG00000228431	ARL5AP3	ARL5A pseudogene 3
1933	ENSG00000253024	RNU6-1238P	RNA, U6 small nuclear 1238, pseudogene
1934	ENSG00000258383		
1935	ENSG00000289363		
1936	ENSG00000235015	GEMIN2P1	gem nuclear organelle associated protein 2 pseudogene 1
1937	ENSG00000258483	LINC02251	long intergenic non-protein coding RNA 2251
1938	ENSG00000309134		
1939	ENSG00000274235		
1940	ENSG00000290866	OTOAP1	OTOA pseudogene 1
1941	ENSG00000287739		
1942	ENSG00000296289		
1943	ENSG00000263033		
1944	ENSG00000287783		
1945	ENSG00000307516		
1946	ENSG00000224943	LINC02819	long intergenic non-protein coding RNA 2819
1947	ENSG00000296820		
1948	ENSG00000299676		
1949	ENSG00000267665	LOC400622	uncharacterized LOC400622
1950	ENSG00000260217		
1951	ENSG00000305577		
1952	ENSG00000260418		
1953	ENSG00000217482	HMGB1P17	high mobility group box 1 pseudogene 17
1954	ENSG00000273711		
1955	ENSG00000218857	LOC100421246	double PHD fingers 2 pseudogene
1956	ENSG00000220694	RPL17P23	ribosomal protein L17 pseudogene 23
1957	ENSG00000156269	NAA11	N-alpha-acetyltransferase 11, NatA catalytic subunit
1958	ENSG00000298324		
1959	ENSG00000186675	MAGEE2	MAGE family member E2
1960	ENSG00000203307	FAM78B-AS1	FAM78B antisense RNA 1
1961	ENSG00000288097		
1962	ENSG00000198851	CD3E	CD3 epsilon subunit of T-cell receptor complex
1963	ENSG00000213045		
1964	ENSG00000287070		
1965	ENSG00000188712	OR13D3P	olfactory receptor family 13 subfamily D member 3 pseudogene
1966	ENSG00000188386	PPP3R2	protein phosphatase 3 regulatory subunit B, beta
1967	ENSG00000310003		
1968	ENSG00000228277	UMLILO	upstream master lncRNA of the inflammatory chemokine locus
1969	ENSG00000290686	SSX8P	SSX family member 8, pseudogene
1970	ENSG00000308790		
1971	ENSG00000280780	JAKMIP2-AS1	JAKMIP2 antisense RNA 1
1972	ENSG00000308603		
1973	ENSG00000304641		
1974	ENSG00000187714	SLC18A3	solute carrier family 18 member A3
1975	ENSG00000270767		
1976	ENSG00000234956	LINC02539	long intergenic non-protein coding RNA 2539
1977	ENSG00000308659		
1978	ENSG00000233968	MALRD1-AS1	MALRD1 antisense RNA 1
1979	ENSG00000307891		
1980	ENSG00000185448	FAM47A	family with sequence similarity 47 member A
1981	ENSG00000297915		
1982	ENSG00000250573		
1983	ENSG00000168830	HTR1E	5-hydroxytryptamine receptor 1E
1984	ENSG00000223389	SDCBP2P1	syndecan binding protein 2 pseudogene 1
1985	ENSG00000296148		
1986	ENSG00000303669		
1987	ENSG00000298724		
1988	ENSG00000275340	FGD5P1	FYVE, RhoGEF and PH domain containing 5 pseudogene 1
1989	ENSG00000224514	LINC00620	long intergenic non-protein coding RNA 620
1990	ENSG00000259737	LOC105370769	uncharacterized LOC105370769
1991	ENSG00000259395		
1992	ENSG00000234203		
1993	ENSG00000258899	OR4U1P	olfactory receptor family 4 subfamily U member 1 pseudogene
1994	ENSG00000271930		
1995	ENSG00000224101	ELMO1-AS1	ELMO1 antisense RNA 1
1996	ENSG00000258451	EGILA	EGFR interacting lncRNA
1997	ENSG00000232927	USP12PY	USP12 pseudogene Y-linked
1998	ENSG00000308988		
1999	ENSG00000298224		
2000	ENSG00000274589	Metazoa_SRP	Metazoan signal recognition particle RNA
2001	ENSG00000113396	SLC27A6	solute carrier family 27 member 6
2002	ENSG00000296985		
2003	ENSG00000294610		
2004	ENSG00000306277		
2005	ENSG00000211728	TRBV5-6	T cell receptor beta variable 5-6
2006	ENSG00000269815		
2007	ENSG00000302653		
2008	ENSG00000299149		
2009	ENSG00000262953	EIF4A1P9	eukaryotic translation initiation factor 4A1 pseudogene 9
2010	ENSG00000297763		
2011	ENSG00000224486	HCG19P	HLA complex group 19 pseudogene
2012	ENSG00000288976		
2013	ENSG00000267283		
2014	ENSG00000294551		
2015	ENSG00000227033		
2016	ENSG00000308956		
2017	ENSG00000304917		
2018	ENSG00000224686	ELOCP23	elongin C pseudogene 23
2019	ENSG00000154438	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1
2020	ENSG00000197561	ELANE	elastase, neutrophil expressed
2021	ENSG00000302505		
2022	ENSG00000274316	ZNF646P1	zinc finger protein 646 pseudogene 1
2023	ENSG00000235010	JAKMIP3-AS1	JAKMIP3 antisense RNA 1
2024	ENSG00000169717	ACTRT2	actin related protein T2
2025	ENSG00000280040	SNX7-DT	SNX7 divergent transcript
2026	ENSG00000295332	LOC105376364	uncharacterized LOC105376364
2027	ENSG00000232985		
2028	ENSG00000289495		
2029	ENSG00000307105	LOC105377936	uncharacterized LOC105377936
2030	ENSG00000244086		
2031	ENSG00000178947	SMIM10L2A	small integral membrane protein 10 like 2A
2032	ENSG00000310089		
2033	ENSG00000287772		
2034	ENSG00000287668		
2035	ENSG00000216378		
2036	ENSG00000263567		
2037	ENSG00000207297	SNORD7	small nucleolar RNA, C/D box 7
2038	ENSG00000294641		
2039	ENSG00000295880		
2040	ENSG00000181291	TMEM132E	transmembrane protein 132E
2041	ENSG00000237891	UBE2V1P16	UBE2V1 pseudogene 16
2042	ENSG00000236446	CT47B1	cancer/testis antigen family 47 member B1
2043	ENSG00000308470		
2044	ENSG00000296353	LOC124902649	uncharacterized LOC124902649
2045	ENSG00000254664		
2046	ENSG00000301609		
2047	ENSG00000236646	LAMTOR5P1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 pseudogene 1
2048	ENSG00000279761	OR5D13	olfactory receptor family 5 subfamily D member 13
2049	ENSG00000305911		
2050	ENSG00000197161	OR4C4P	olfactory receptor family 4 subfamily C member 4 pseudogene
2051	ENSG00000203837	PNLIPRP3	pancreatic lipase related protein 3
2052	ENSG00000207988	MIR576	microRNA 576
2053	ENSG00000297058		
2054	ENSG00000134240	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2
2055	ENSG00000308241		
2056	ENSG00000299363		
2057	ENSG00000254785		
2058	ENSG00000261781	LINC01654	long intergenic non-protein coding RNA 1654
2059	ENSG00000172459	OR5AR1	olfactory receptor family 5 subfamily AR member 1
2060	ENSG00000287430		
2061	ENSG00000180251	SLC9A4	solute carrier family 9 member A4
2062	ENSG00000237549	RPS6P3	ribosomal protein S6 pseudogene 3
2063	ENSG00000225775		
2064	ENSG00000223342		
2065	ENSG00000301163		
2066	ENSG00000146049	KAAG1	kidney associated DCDC2 antisense RNA 1
2067	ENSG00000228223	HCG11	HLA complex group 11
2068	ENSG00000225781	OR6V1	olfactory receptor family 6 subfamily V member 1
2069	ENSG00000286481		
2070	ENSG00000289982		
2071	ENSG00000271938		
2072	ENSG00000273305		
2073	ENSG00000305754		
2074	ENSG00000283865	MTND3P18	MT-ND3 pseudogene 18
2075	ENSG00000295478		
2076	ENSG00000172680	MOS	MOS proto-oncogene, serine/threonine kinase
2077	ENSG00000247324		
2078	ENSG00000210678	RNU6ATAC2P	RNA, U6atac small nuclear 2, pseudogene
2079	ENSG00000145649	GZMA	granzyme A
2080	ENSG00000285919		
2081	ENSG00000287500		
2082	ENSG00000304632		
2083	ENSG00000233358	LOC105374974	uncharacterized LOC105374974
2084	ENSG00000299602		
2085	ENSG00000298043		
2086	ENSG00000242236	RN7SL594P	RNA, 7SL, cytoplasmic 594, pseudogene
2087	ENSG00000309752		
2088	ENSG00000288067		
2089	ENSG00000304405		
2090	ENSG00000297954		
2091	ENSG00000257940		
2092	ENSG00000304153		
2093	ENSG00000257860	C12orf42-AS1	C12orf42 antisense RNA 1
2094	ENSG00000139352	ASCL1	achaete-scute family bHLH transcription factor 1
2095	ENSG00000272425		
2096	ENSG00000222405	RNU4-65P	RNA, U4 small nuclear 65, pseudogene
2097	ENSG00000286956		
2098	ENSG00000240375	VPS26AP1	VPS26A pseudogene 1
2099	ENSG00000244561	RLIG1P2	RLIG1 pseudogene 2
2100	ENSG00000265984	GREB1L-DT	GREB1L divergent transcript
2101	ENSG00000231892		
2102	ENSG00000306890		
2103	ENSG00000251735		
2104	ENSG00000301869		
2105	ENSG00000200528	RNU6-1331P	RNA, U6 small nuclear 1331, pseudogene
2106	ENSG00000303395		
2107	ENSG00000230960	LOC154449	uncharacterized LOC154449
2108	ENSG00000287418		
2109	ENSG00000280323		
2110	ENSG00000275226	LINC00547	long intergenic non-protein coding RNA 547
2111	ENSG00000241456		
2112	ENSG00000296004		
2113	ENSG00000277448	LINC02338	long intergenic non-protein coding RNA 2338
2114	ENSG00000242925	PLCH1-AS2	PLCH1 antisense RNA 2
2115	ENSG00000230548	MTND4P27	MT-ND4 pseudogene 27
2116	ENSG00000272256		
2117	ENSG00000309137		
2118	ENSG00000309936		
2119	ENSG00000232377	QTMAN-AS1	QTMAN antisense RNA 1
2120	ENSG00000280368		
2121	ENSG00000250619		
2122	ENSG00000307785		
2123	ENSG00000239994		
2124	ENSG00000275709		
2125	ENSG00000282142		
2126	ENSG00000297879		
2127	ENSG00000204851	PNMA8B	PNMA family member 8B
2128	ENSG00000299519		
2129	ENSG00000230529	CEACAMP9	CEA cell adhesion molecule pseudogene 9
2130	ENSG00000289422	LOC105373854	uncharacterized LOC105373854
2131	ENSG00000241861	GAPDHP50	glyceraldehyde 3 phosphate dehydrogenase pseudogene 50
2132	ENSG00000238090	LOC100421336	RAB3A interacting protein like 1 pseudogene
2133	ENSG00000174990	CA5A	carbonic anhydrase 5A
2134	ENSG00000224014		
2135	ENSG00000296965		
2136	ENSG00000200261	Y_RNA	Y RNA
2137	ENSG00000300817		
2138	ENSG00000122121	XPNPEP2	X-prolyl aminopeptidase 2
2139	ENSG00000289893		
2140	ENSG00000138039	LHCGR	luteinizing hormone/choriogonadotropin receptor
2141	ENSG00000226661		
2142	ENSG00000226004	SIMALR	suppressor of inflammatory macrophage apoptosis lncRNA
2143	ENSG00000257515		
2144	ENSG00000269720	CCDC194	coiled-coil domain containing 194
2145	ENSG00000287728	LOC105377953	uncharacterized LOC105377953
2146	ENSG00000309051		
2147	ENSG00000230833	RPEP3	ribulose-5-phosphate-3-epimerase pseudogene 3
2148	ENSG00000226268		
2149	ENSG00000294549		
2150	ENSG00000302703		
2151	ENSG00000203565		
2152	ENSG00000243744	RPL29P13	ribosomal protein L29 pseudogene 13
2153	ENSG00000273115		
2154	ENSG00000302114		
2155	ENSG00000229693	SKP2P1	SKP2 pseudogene 1
2156	ENSG00000169862	CTNND2	catenin delta 2
2157	ENSG00000275450		
2158	ENSG00000249668	KRT18P56	keratin 18 pseudogene 56
2159	ENSG00000294155		
2160	ENSG00000294226		
2161	ENSG00000309897		
2162	ENSG00000259078	PTBP1P	polypyrimidine tract binding protein 1 pseudogene
2163	ENSG00000310107		
2164	ENSG00000213739	PPIAP68	peptidylprolyl isomerase A pseudogene 68
2165	ENSG00000219653	GCNT1P4	glucosaminyl (N-acetyl) transferase 1 pseudogene 4
2166	ENSG00000266145	RHOT1P1	ras homolog family member T1 pseudogene 1
2167	ENSG00000168348	INSM2	INSM transcriptional repressor 2
2168	ENSG00000016602	CLCA4	chloride channel accessory 4
2169	ENSG00000215875	ST13P20	ST13, Hsp70 interacting protein pseudogene 20
2170	ENSG00000261740	BOLA2-SMG1P6	BOLA2-SMG1P6 readthrough
2171	ENSG00000248514		
2172	ENSG00000287939		
2173	ENSG00000251526	LINC02435	long intergenic non-protein coding RNA 2435
2174	ENSG00000227581	STAU2P1	STAU2 pseudogene 1
2175	ENSG00000294969		
2176	ENSG00000254089		
2177	ENSG00000302789	LOC105372151	uncharacterized LOC105372151
2178	ENSG00000240474	RN7SL116P	RNA, 7SL, cytoplasmic 116, pseudogene
2179	ENSG00000252944	RNU6-897P	RNA, U6 small nuclear 897, pseudogene
2180	ENSG00000254854	NECTIN1-DT	NECTIN1 divergent transcript
2181	ENSG00000254076	LOC100129367	nucleolar and coiled-body phosphoprotein 1 pseudogene
2182	ENSG00000222764	RN7SKP106	RN7SK pseudogene 106
2183	ENSG00000173867		
2184	ENSG00000299512		
2185	ENSG00000299414		
2186	ENSG00000263584	MIR4480	microRNA 4480
2187	ENSG00000233733	H2AZP6	H2A.Z histone pseudogene 6
2188	ENSG00000267225	WDR7-OT1	WDR7 overlapping transcript 1
2189	ENSG00000305368		
2190	ENSG00000301745		
2191	ENSG00000290968		
2192	ENSG00000258878	LOC100420096	IGF like family receptor 1 pseudogene
2193	ENSG00000268592	RAET1E-AS1	RAET1E antisense RNA 1
2194	ENSG00000273997		
2195	ENSG00000178222	RNF212	ring finger protein 212
2196	ENSG00000260871		
2197	ENSG00000094755	GABRP	gamma-aminobutyric acid type A receptor subunit pi
2198	ENSG00000155495	MAGEC1	MAGE family member C1
2199	ENSG00000120457	KCNJ5	potassium inwardly rectifying channel subfamily J member 5
2200	ENSG00000233009	NALCN-AS1	NALCN antisense RNA 1
2201	ENSG00000297806		
2202	ENSG00000300005		
2203	ENSG00000232267	ACTR3P2	ACTR3 pseudogene 2
2204	ENSG00000279020	C18orf15	chromosome 18 putative open reading frame 15
2205	ENSG00000232396	CABP7-DT	CABP7 divergent transcript
2206	ENSG00000254152	PPIAP84	peptidylprolyl isomerase A pseudogene 84
2207	ENSG00000298489		
2208	ENSG00000305100		
2209	ENSG00000213309	RPL9P18	ribosomal protein L9 pseudogene 18
2210	ENSG00000263301		
2211	ENSG00000302600		
2212	ENSG00000305283	LOC124905959	uncharacterized LOC124905959
2213	ENSG00000299529		
2214	ENSG00000243321	LINC01998	long intergenic non-protein coding RNA 1998
2215	ENSG00000258400		
2216	ENSG00000240890	G2E3P1	G2E3 pseudogene 1
2217	ENSG00000263015		
2218	ENSG00000308901		
2219	ENSG00000237087		
2220	ENSG00000226086	EIF3LP3	eukaryotic translation initiation factor 3 subunit L pseudogene 3
2221	ENSG00000177144	NUDT4B	nudix hydrolase 4B
2222	ENSG00000270765	GAS2L2	growth arrest specific 2 like 2
2223	ENSG00000226679	LOC124905176	uncharacterized LOC124905176
2224	ENSG00000228398	HMGN2P25	high mobility group nucleosomal binding domain 2 pseudogene 25
2225	ENSG00000297346		
2226	ENSG00000188078	LOC100500719	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1 pseudogene
2227	ENSG00000133561	GIMAP6	GTPase, IMAP family member 6
2228	ENSG00000259838	ELOCP2	elongin C pseudogene 2
2229	ENSG00000303086		
2230	ENSG00000303354		
