"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","phosphatidylinositol-5-phosphate binding","2.00%","2","89","21","19272","9.17e-2","1.00e+0","20.62","1.00e+0","1.00e+0","4.18e-3"
"GOTERM_MF_DIRECT","BMP binding","2.00%","2","89","21","19272","9.17e-2","1.00e+0","20.62","1.00e+0","1.00e+0","4.18e-3"
"SMART","TY","2.00%","2","62","17","10704","9.27e-2","1.00e+0","20.31","9.99e-1","1.00e+0","4.25e-3"
"GOTERM_BP_DIRECT","positive regulation of myelination","2.00%","2","92","21","19512","9.35e-2","1.00e+0","20.20","1.00e+0","9.96e-1","4.36e-3"
"GOTERM_BP_DIRECT","monoatomic ion transport","7.00%","7","92","672","19512","9.39e-2","1.00e+0","2.21","1.00e+0","9.96e-1","3.94e-2"
"GOTERM_MF_DIRECT","structural constituent of cytoskeleton","3.00%","3","89","113","19272","9.43e-2","1.00e+0","5.75","1.00e+0","1.00e+0","1.55e-2"
"GOTERM_BP_DIRECT","response to ethanol","3.00%","3","92","112","19512","9.63e-2","1.00e+0","5.68","1.00e+0","9.96e-1","1.60e-2"
"UP_SEQ_FEATURE","REGION:Triple-helical region","2.00%","2","93","23","20669","9.76e-2","1.00e+0","19.33","1.00e+0","1.00e+0","4.76e-3"
"GOTERM_BP_DIRECT","myelination in peripheral nervous system","2.00%","2","92","22","19512","9.78e-2","1.00e+0","19.28","1.00e+0","9.96e-1","4.78e-3"
"GOTERM_BP_DIRECT","D-glucose transmembrane transport","2.00%","2","92","22","19512","9.78e-2","1.00e+0","19.28","1.00e+0","9.96e-1","4.78e-3"
"GOTERM_BP_DIRECT","phospholipid catabolic process","2.00%","2","92","22","19512","9.78e-2","1.00e+0","19.28","1.00e+0","9.96e-1","4.78e-3"
"SMART","IB","2.00%","2","62","18","10704","9.78e-2","1.00e+0","19.18","1.00e+0","1.00e+0","4.76e-3"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","3.00%","3","92","114","19512","9.92e-2","1.00e+0","5.58","1.00e+0","9.96e-1","1.67e-2"
"GOTERM_CC_DIRECT","external side of plasma membrane","5.00%","5","92","402","20808","9.97e-2","9.23e-1","2.81","1.00e+0","8.79e-1","3.29e-2"

